2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:55,577 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,690 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,694 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,627 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,701 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,723 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,724 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,724 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,747 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,750 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,779 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,779 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,785 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,785 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,812 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,812 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,869 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,813 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,838 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,838 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,838 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,864 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,865 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,869 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,812 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,904 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,904 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,953 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,958 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:55,958 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,958 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:55,992 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,013 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,014 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,015 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,018 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,019 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,019 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,020 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,020 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,024 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,030 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,030 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,035 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,035 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,046 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,050 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,078 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,115 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,086 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,086 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,115 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,115 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,081 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,120 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,201 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,146 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,171 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,171 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,199 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,200 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,200 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,200 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,125 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,297 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,229 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,262 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,262 | INFO | healpy | -> fwhm is 0.000000 arcmin
