2025-10-24 10:01:02,775 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 10:01:19,346 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,574 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,577 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,577 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,911 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,717 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,909 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,930 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,911 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,911 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,560 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,927 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,944 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,909 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:19,945 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,945 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:19,959 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,075 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,076 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,163 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,165 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,185 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,166 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,170 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,184 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,184 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,166 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,281 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,281 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,296 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,590 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,413 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,413 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,590 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,590 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,590 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,399 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,604 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,604 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,718 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,719 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:20,719 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,719 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,819 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:20,819 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,074 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,076 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,202 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,077 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,200 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,200 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,201 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,076 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,218 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,218 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,231 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,231 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,337 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,337 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,337 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,352 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,368 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,369 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,464 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,465 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,465 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,573 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,574 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,574 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,589 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,589 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,589 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,589 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,603 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,604 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,604 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,698 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,791 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,791 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:21,806 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 10:01:22,095 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,995 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 10:01:21,995 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
